District,1,2,3,4,11,12,20,23,30,32,33,34
4_2024,"4,263","3,852","2,212","4,359","2,314","2,489","4,186",439,"1,979","2,477","3,629",892
3_2024,"4,477","4,681","2,821","4,955","2,391","2,414","4,469",321,"1,161","2,630","4,511",950
2_2024,"5,297","4,055","2,891","4,612","2,580","2,017","3,824",360,"1,500","1,338","2,986",844
1_2024,"5,250","3,233","2,185","4,046","1,830","1,793","4,683",389,"1,706","1,068","1,691",757
4_2023,"4,252","3,322","2,504","4,886","1,338","1,920","4,277",425,"1,670","1,087","1,271",938
3_2023,"4,112","4,440","2,610","6,364","1,304","2,097","4,706",390,883,"1,218","1,345",796
2_2023,"3,941","4,616","2,402","6,535","1,780","2,549","4,386",411,"1,834","1,517","1,444",1826
1_2023,"3,462","2,673","1,578","6,116","1,435","1,633","4,356",428,"1,287","1,242","1,782",2055
4_2022,"2,966","2,870","1,352","4,214","1,057","1,306","2,944",300,"1,366","1,231","1,852",1533
3_2022,"3,046","2,832","1,032","4,079","1,379","1,395","1,830",355,"1,049",964,"1,449",1178
2_2022,"2,328","3,288","1,191","3,930","1,512","1,377","1,941",365,"1,305","1,182","1,318",1262
1_2022,"1,730","2,109","1,020","2,991","1,117","1,077","1,636",413,934,"1,044",729,1219
4_2021,1047,1715,1108,3358,880,829,1155,313,729,877,542,1002
3_2021,965,1107,779,3417,974,686,1014,135,496,944,329,1311
2_2021,1229,1260,1111,3957,1268,862,1377,119,616,887,376,871
1_2021,1549,1670,1368,3126,1555,1977,1638,250,879,940,598,832
4_2020,908,824,384,1487,1007,1219,1096,159,762,576,343,495
3_2020,144,36,17,81,18,60,285,74,27,55,33,51
2_2020,60,115,11,149,4,48,68,6,53,124,65,20
1_2020,1726,1232,907,2774,1579,1996,770,296,982,733,1838,822
4_2019,2157,1117,970,1875,1368,1397,834,362,1187,808,2325,824
3_2019,1866,1351,1076,2023,2322,1664,871,227,1241,644,1509,980
2_2019,2135,1135,1305,1837,1837,1942,1049,448,1604,698,1496,882
1_2019,2950,1666,1475,2611,1344,2442,1194,458,1735,1254,1250,816
4_2018,2731,1868,1075,1959,1232,2193,979,332,1285,684,729,642
3_2018,2193,1335,844,1717,1097,2198,896,329,1192,567,812,784
2_2018,1534,982,536,1198,794,763,999,326,1135,323,494,777
1_2018,1712,1046,476,1262,631,529,922,403,1019,532,519,731
4_2017,1797,1103,638,1258,671,559,977,348,1402,623,574,715